"Core" Subject Taxonomy for Mathematical Sciences Education
"Final" Draft
Proposed by the Mathematical Sciences Conference Group on Digital Educational Resources
February 2002
https://www.math.duke.edu//education/mathnsdl02/math-taxonomy-0202-1web.htm
 
 
1.0      Elementary Mathematics
7.3.1           Computer Arithmetic
7.3.2           Solutions of Equations
7.3.3           Solutions of Systems
7.3.4           Interpolation
7.3.5           Numerical Differentiation
7.3.6           Numerical Integration
7.3.7           Numerical Solutions of ODEs
7.3.8           Numerical Solutions of PDEs
7.4      Signal Analysis
7.4.1          Fourier Series
7.5      Fourier Transforms
7.5.1           Filters
7.5.2          Noise
7.5.3           Sampling Theory
7.5.4           Wavelet Analysis
7.5.5           Data Compression
7.5.6           Image Processing
7.6      Functional Analysis
7.6.1           Hilbert Spaces
7.6.2           Banach Spaces
7.6.3           Topological Spaces
7.6.4           Locally Convex Spaces
7.6.5           Bounded Operators
7.6.6           Spectral Theorem
7.6.7           Unbounded Operators
7.7      Harmonic Analysis
7.8      Global Analysis
8.0      Differential and Difference Equations
8.1      Ordinary Differential Equations
8.1.1          First Order
8.1.2          Second Order
8.1.3          Linear Oscillations
8.1.4          Nonlinear Oscillations
8.1.5          Systems of Differential Equations
8.1.6          Sturm - Liouville Problems
8.1.7          Special Functions
8.1.8          Power Series Methods
8.1.9          Laplace Transforms
8.2      Partial Differential Equations
8.2.1          First Order
8.2.2          Elliptic
8.2.3          Parabolic
8.2.4          Hyperbolic
8.2.5          Integral Transforms
8.2.6          Integral Equations
8.2.7          Potential Theory
8.2.8          Nonlinear Equations
8.2.9          Symmetries and Integrability
8.3      Difference Equations
8.3.1          First Order
8.3.2          Second Order
8.3.3          Linear Systems
8.3.4          Z-Transforms
8.3.5          Orthogonal Polynomials
8.4 Dynamical Systems
8.4.1           1D Maps
8.4.2           2D Maps
8.4.3           Lyapunov Exponents
8.4.4           Bifurcations
8.4.5           Fractals
8.4.6           Differentiable Dynamics
8.4.7           Conservative Dynamics
8.4.8           Chaos
8.4.9           Complex Dynamical Systems
9.0      Statistics and Probability
9.1      Statistics
9.1.1           Sampling
9.1.2           Expectation Value and Variance
9.1.3           Linear Regression
9.1.4           Nonlinear Regression
9.1.5           Queuing Theory
9.1.6           Bayesian Statistics
9.2 Probability
9.2.1           Brownian Motion
9.2.2           Random Variables
9.2.2.1          Discrete Distributions
9.2.2.2          Continuous Distributions
9.2.2.3          Expectation Value
9.2.3           Central Limit Theorem
9.2.4           Markov Chains
9.2.5           Probability Measures
9.2.6           Stochastic Processes
9.3      Data
9.3.1          Data Representation
9.3.1.1        Bar graph
9.3.1.2        Box-and-whiskers plot
9.3.1.3        Circle graph/pie graph
9.3.1.4        Graphing
9.3.1.5        Histogram
9.3.1.6        Line-of-best-fit
9.3.1.7        Line plot
9.3.1.8        Pictograph
9.3.1.9        Scatter plot
9.3.1.10    Stem-and-leaf plot
9.3.1.11    Table
9.3.2          Data Collection
9.3.2.1        Experiment
9.3.2.2        Hypothesis
9.3.2.3        Sampling
9.3.2.4        Survey
9.3.3          Data Analysis
9.3.3.1        Measures of Central Tendency
1.1.1.1.1.           Mean
1.1.1.1.2.           Median
1.1.1.1.3.           Mode
9.3.3.2        Correlation
9.3.3.3        Distribution
10.0   Applied Mathematics
10.1   Mathematical Physics
10.2   Mathematical Economics
10.3   Mathematical Biology
10.4   Mathematics for Business
10.5   Engineering Mathematics
10.6   Mathematical Sociology
10.7   Mathematics for Social Sciences
10.8   Mathematics for Computer Science
11.0   Mathematics History
11.1   General
11.2   Famous Problems
11.3   Biographies of Mathematicians
